"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 03 12:56:31 IST 2022","Thu Mar 03 12:56:31 IST 2022","582","API Suite","API Tests","sanity.BookAPI","sanity.BookAPI","test02_addNewBook","Test02 - Add a New Book And Verify","This test adds a new book to a user and verifies it"
"passed","Thu Mar 03 12:56:32 IST 2022","Thu Mar 03 12:56:33 IST 2022","510","API Suite","API Tests","sanity.BookAPI","sanity.BookAPI","test03_updateBook","Test03 - Update a Book And Verify","This test updates a book in user's books and verifies it"
"passed","Thu Mar 03 12:56:57 IST 2022","Thu Mar 03 12:56:58 IST 2022","859","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test07_verify_product_exists_inCart","Test07 - Verify Item Exists In Cart","This test verifies the existence of an item in a cart using DDT"
"passed","Thu Mar 03 12:56:32 IST 2022","Thu Mar 03 12:56:32 IST 2022","509","API Suite","API Tests","sanity.BookAPI","sanity.BookAPI","test02_addNewBook","Test02 - Add a New Book And Verify","This test adds a new book to a user and verifies it"
"passed","Thu Mar 03 12:56:27 IST 2022","Thu Mar 03 12:56:31 IST 2022","3270","API Suite","API Tests","sanity.BookAPI","sanity.BookAPI","test01_verifyBookTitle","Test01 - Verify Book Title Property","This test verifies book title property"
"passed","Thu Mar 03 12:56:53 IST 2022","Thu Mar 03 12:56:58 IST 2022","5169","Desktop Suite","Desktop Tests","sanity.CalculatorDesktop","sanity.CalculatorDesktop","test01_subtractTwoNumbers","Test01 - Verify Subtraction Of Two Numbers","This test verifies Subtraction of two numbers"
"passed","Thu Mar 03 12:56:48 IST 2022","Thu Mar 03 12:56:49 IST 2022","874","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test04_verify_low_to_high_sortingItems","Test04 - Verify low to high sorting items","This test verifies the functionality of low to high sorting items"
"passed","Thu Mar 03 12:56:42 IST 2022","Thu Mar 03 12:56:43 IST 2022","474","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test01_verifyTitle","Test01 - Verify Title","This test verifies the secondary header title"
"passed","Thu Mar 03 12:56:45 IST 2022","Thu Mar 03 12:56:47 IST 2022","1633","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test03_add_and_removeItemsFromInventory","Test03 - Add and Remove Item Testing","This test verifies the functionality of adding and removing items from the inventory"
"passed","Thu Mar 03 12:56:56 IST 2022","Thu Mar 03 12:56:57 IST 2022","753","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test07_verify_product_exists_inCart","Test07 - Verify Item Exists In Cart","This test verifies the existence of an item in a cart using DDT"
"passed","Thu Mar 03 12:57:01 IST 2022","Thu Mar 03 12:57:02 IST 2022","1027","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test07_verify_product_exists_inCart","Test07 - Verify Item Exists In Cart","This test verifies the existence of an item in a cart using DDT"
"passed","Thu Mar 03 12:56:46 IST 2022","Thu Mar 03 12:56:53 IST 2022","6518","Desktop Suite","Desktop Tests","sanity.CalculatorDesktop","sanity.CalculatorDesktop","test01_addTwoNumbers","Test01 - Verify Addition Of Two Numbers","This test verifies addition of two numbers"
"passed","Thu Mar 03 12:56:50 IST 2022","Thu Mar 03 12:56:50 IST 2022","433","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test05_verify_AllElementsDisplay","Test05 - Verify visibility of items","This test verifies the visibility of the items on the inventory page using softAssertion"
"passed","Thu Mar 03 12:40:22 IST 2022","Thu Mar 03 12:40:23 IST 2022","1184","Electron Suite","Electron Tests","sanity.ToDoElectron","sanity.ToDoElectron","test02_addAndVerifyNewTasks","Test02 - Add And Verify New Tasks","This test adds new tasks and verifies it "
"passed","Thu Mar 03 12:56:33 IST 2022","Thu Mar 03 12:56:33 IST 2022","478","API Suite","API Tests","sanity.BookAPI","sanity.BookAPI","test04_deleteAllUserBooks","Test04 - Delete All User's Books And Verify","This test deletes all user's books and verifies it"
"passed","Thu Mar 03 12:56:53 IST 2022","Thu Mar 03 12:56:54 IST 2022","551","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test07_verify_product_exists_inCart","Test07 - Verify Item Exists In Cart","This test verifies the existence of an item in a cart using DDT"
"passed","Thu Mar 03 12:56:31 IST 2022","Thu Mar 03 12:56:32 IST 2022","439","API Suite","API Tests","sanity.BookAPI","sanity.BookAPI","test02_addNewBook","Test02 - Add a New Book And Verify","This test adds a new book to a user and verifies it"
"passed","Thu Mar 03 12:56:44 IST 2022","Thu Mar 03 12:56:44 IST 2022","257","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test02_verifyItemsNumber","Test02 - Verify Items Number","This test verifies the amount of the items on the inventory page"
"passed","Thu Mar 03 12:56:51 IST 2022","Thu Mar 03 12:56:53 IST 2022","1778","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test06_verify_visualization_primary_header_logo","Test06 - Verify Primary Header Logo","This test verifies the visualization of the primary header logo using Sikuli"
"passed","Thu Mar 03 12:56:55 IST 2022","Thu Mar 03 12:56:55 IST 2022","651","Web Suite","Web Tests","sanity.SauceDemoWeb","sanity.SauceDemoWeb","test07_verify_product_exists_inCart","Test07 - Verify Item Exists In Cart","This test verifies the existence of an item in a cart using DDT"
